PlaceholderPlaceholder (no brackets)Field Name (pretty label)Section RefSource FileRequiredDescription of Expected Content FallbackDependenciesWord count (min)Word count (max)Tone/StyleInstructions for GPTAllowed source: userAllowed source: GPT logicAllowed source: APIData TypeRetry on RejectNormalise CaseProvenence requiredNotesExamplesBenchmark Targets,,,,,,,,,,,,,,,,,,,,,,,
Placeholder,Placeholder (no brackets),Field Name (pretty label),Section Ref,Source File,Required,Description of Expected Content ,Fallback,Dependencies,Word count (min),Word count (max),Tone/Style,Instructions for GPT,Allowed source: user,Allowed source: GPT logic,Allowed source: API,Data Type,Retry on Reject,Normalise Case,Provenence required,Notes,Examples,Benchmark Targets,
{{ address_line_1 }},address_line_1,Address,Header and Section 1,Report_field_guide.xlsx,Yes,First line of address,"None, mandatory",None,0,10,"Short, factual","Based on user input, GPT verified",No,No,Yes,String,Yes,Leading caps,No,,"""123 Oxford Street""",N/A,
{{ city }},city,Address,Header and Section 1,Report_field_guide.xlsx,Yes,"City, parsed from the address","None, mandatory",None,0,5,"Short, factual","Based on user input, GPT verified",No,No,Yes,String,Yes,Leading caps,No,,"""London""",N/A,
{{ post_code }},post_code,Address,Header and Section 1,Report_field_guide.xlsx,Yes,"Post code, parsed from the address","None, mandatory",None,0,10,UK post code format,"Based on user input, GPT verified",No,No,Yes,String,Yes,All caps,Yes,,"""W1S 2TQ""",N/A,
{{ image_main_1 }},image_main_1,Image,N/A,Report_field_guide.xlsx,Yes,"First image of the building, as uploaded by the user","None, mandatory",Must be uploaded by user,0,10,N/A,"User upload in session, as per system instructions",Yes,No,No,base64,Yes,N/A,No,"System-inserted image placeholder using InlineImage. Must be an image, in either JPEG or PNG format.  Must be in square format.",N/A,N/A,
{{ image_main_2 }},image_main_2,Image,N/A,Report_field_guide.xlsx,Yes,"Second image of the building, as uploaded by the user","None, mandatory",Must be uploaded by user,0,10,N/A,"User upload in session, as per system instructions",Yes,No,No,base64,Yes,N/A,No,"System-inserted image placeholder using InlineImage. Must be an image, in either JPEG or PNG format.  Must be in square format.",N/A,N/A,
{{ image_map }},image_map,Map,N/A,Report_field_guide.xlsx,Yes,"Map showing location of the building, as uploaded by the user","None, mandatory",Must be uploaded by user,0,10,N/A,"User upload in session, as per system instructions",Yes,No,No,base64,Yes,N/A,No,"System-inserted image placeholder using InlineImage. Must be an image, in either JPEG or PNG format.  Must be in square format.",N/A,N/A,
{{ uprn }},uprn,UPRN,1,Report_field_guide.xlsx,Yes,Unique Property Reference Number from OS Places - the definitive identifier for the property,Insert 'Data unavailable or inconclusive',None,1,15,"Short, factual","Get from OS Places API via Val ""pipe-address""",No,No,Yes,String,No,N/A,Yes,Primary key for property lookups,100022934143 ,N/A,
{{ lsoa_code }},lsoa_code,LSOA Code,1,SQL database,Yes,Lower Layer Super Output Area code for ONS statistical geography and IMD lookup,post_code,Must have post_code first,1,3,N/A - system field,"Get from LSOA (ONS statistical geography) API via Val ""pipe-address""",No,No,Yes,String,No,All caps,Yes,Must be 9 characters: E followed by 8 digits. Used for IMD deprivation lookup.,E01032739,N/A,
{{ lsoa_name }},lsoa_name,LSOA Name,1,SQL database,Yes,Lower Layer Super Output Area name - human readable area identifier,lsoa_code,Must have post_code first,1,10,N/A - system field,"Get from LSOA (ONS statistical geography) API via Val ""pipe-address""",No,No,Yes,String,No,Yes,Yes,Free text name assigned by ONS. Typically format: Area Name + 3-digit code + letter.,City of London 001F,N/A,
{{ latitude }},latitude,Latitude,1,Report_field_guide.xlsx,No,Latitude coordinate of the property (WGS84),Insert 'Data unavailable or inconclusive',uprn,1,15,"Short, factual",Get from OS Places API,No,No,Yes,Number,No,N/A,No,Used for mapping and location services,51.5133378,N/A,
